id,date,family,kernel,region,input_isa,output_isa,vl_supported,effects,alias,rounding,tail,dataflow_kind,proof_type,correctness_gate,status,notes
misc-chroma-copy-pp-32x32,2026-08-17,misc,chroma-copy-pp,32x32,neon,neon,128;256,read src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-chroma-copy-pp-8x8,2026-08-17,misc,chroma-copy-pp,8x8,neon,neon,128;256,read src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-chroma-copy-ps-16x16,2026-08-17,misc,chroma-copy-ps,16x16,neon,neon,128;256,read src; write int16 dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-chroma-copy-sp-16x16,2026-08-17,misc,chroma-copy-sp,16x16,neon,neon,128;256,read int16 src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-chroma-copy-ss-16x16,2026-08-17,misc,chroma-copy-ss,16x16,neon,neon,128;256,read int16 src; write int16 dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-add-ps-16x16,2026-08-17,misc,cu-add-ps,16x16,neon,neon,128;256,read 2 src; write int16 dst,none,exact,none,elementwise,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-copy-pp-16x16,2026-08-17,misc,cu-copy-pp,16x16,neon,neon,128;256,read src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-copy-ps-16x16,2026-08-17,misc,cu-copy-ps,16x16,neon,neon,128;256,read src; write int16 dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-copy-sp-16x16,2026-08-17,misc,cu-copy-sp,16x16,neon,neon,128;256,read int16 src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-copy-ss-16x16,2026-08-17,misc,cu-copy-ss,16x16,neon,neon,128;256,read int16 src; write int16 dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-cu-sub-ps-16x16,2026-08-17,misc,cu-sub-ps,16x16,neon,neon,128;256,read 2 src; write int16 dst,none,exact,none,elementwise,upstream-exact,20k,gated,docs/37/45 representative slice
misc-planecopy-cp-1d,2026-08-17,misc,planecopy-cp,1d,neon,neon,128;256,read plane; write plane,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-pu-addavg-16x16,2026-08-17,misc,pu-addavg,16x16,neon,neon,128;256,read 2 src; write dst,none,exact,none,elementwise,upstream-exact,20k,gated,docs/37/45 representative slice
misc-pu-copy-pp-16x16,2026-08-17,misc,pu-copy-pp,16x16,neon,neon,128;256,read src; write dst,none,exact,none,copy,upstream-exact,20k,gated,docs/37/45 representative slice
misc-sad-32-32x32,2026-08-17,misc,sad-32,32x32,neon,neon,128;256,read 2 planes; write int,none,exact,none,reduce,upstream-exact,20k,gated,docs/37/45 representative slice
misc-satd-24x32-24x32,2026-08-17,misc,satd-24x32,24x32,neon,neon,128;256,read 2 planes; write int,none,exact,none,hadamard,upstream-exact,20k,gated,docs/37/45 representative slice
misc-satd-64x16-64x16,2026-08-17,misc,satd-64x16,64x16,neon,neon,128;256,read 2 planes; write int,none,exact,none,hadamard,upstream-exact,20k,gated,docs/37/45 representative slice
misc-scale1d-1d,2026-08-17,misc,scale1d,1d,neon,neon,128;256,read src; write dst,none,exact,none,scale,upstream-exact,20k,gated,docs/37/45 representative slice
misc-scale2d-2d,2026-08-17,misc,scale2d,2d,neon,neon,128;256,read src; write dst,none,exact,none,scale,upstream-exact,20k,gated,docs/37/45 representative slice
misc-sign-1d,2026-08-17,misc,sign,1d,neon,neon,128;256,read src; write dst,none,exact,none,sign,upstream-exact,20k,gated,docs/37/45 representative slice
misc-ssim-4x4x2,2026-08-17,misc,ssim,4x4x2,neon,neon,128;256,read 2 planes; write stats,none,exact,none,reduce,upstream-exact,20k,gated,docs/37/45 representative slice
misc-weight-pp-16x16,2026-08-17,misc,weight-pp,16x16,neon,neon,128;256,read src; write dst (weighted),none,exact,none,elementwise,upstream-exact,20k,gated,docs/37/45 representative slice
pixel-sa8d-8-cover-sa8d8_A,,pixel,sa8d-8,cover-sa8d8_A,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-sa8d-8-cover-sa8d8_B,,pixel,sa8d-8,cover-sa8d8_B,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-sa8d-8-cover-sa8d8_C,,pixel,sa8d-8,cover-sa8d8_C,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-sa8d16-16x16,,pixel,sa8d16,16x16,c/neon,neon,128;256,read 2 planes; write int,none,exact,none,hadamard+reduce,upstream-exact,20k vq=1/2,measured,920B kernel +4% (cloud +12% not reproduced)
pixel-satd-16-16x16,2026-08-16,pixel,satd-16,16x16,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,docs/66 all-shape coverage
pixel-satd-16x32-16x32,,pixel,satd-16x32,16x32,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-16x4-16x4,2026-08-17,pixel,satd-16x4,16x4,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-16x64-16x64,2026-08-17,pixel,satd-16x64,16x64,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-16x8-16x8,2026-08-16,pixel,satd-16x8,16x8,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,docs/66 all-shape coverage
pixel-satd-16x8-cover-satd16x8_A,,pixel,satd-16x8,cover-satd16x8_A,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-16x8-cover-satd16x8_B,,pixel,satd-16x8,cover-satd16x8_B,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-16x8-cover-satd16x8_C,,pixel,satd-16x8,cover-satd16x8_C,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-32x32-32x32,2026-08-16,pixel,satd-32x32,32x32,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,docs/66 all-shape coverage
pixel-satd-32x64-32x64,2026-08-17,pixel,satd-32x64,32x64,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-32x8-32x8,2026-08-17,pixel,satd-32x8,32x8,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-48x64-48x64,2026-08-17,pixel,satd-48x64,48x64,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-64x48-64x48,2026-08-17,pixel,satd-64x48,64x48,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-64x64-64x64,2026-08-16,pixel,satd-64x64,64x64,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,docs/66 all-shape coverage
pixel-satd-8-8x8,,pixel,satd-8,8x8,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,IR candidate 77 fused
pixel-satd-8-cover-satd8_A,,pixel,satd-8,cover-satd8_A,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8-cover-satd8_B,,pixel,satd-8,cover-satd8_B,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8-cover-satd8_C,,pixel,satd-8,cover-satd8_C,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8-cover-satd8_D,,pixel,satd-8,cover-satd8_D,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8-cover-satd8_E,,pixel,satd-8,cover-satd8_E,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x16-8x16,2026-08-16,pixel,satd-8x16,8x16,c/neon,neon,128;256,read 2 planes; write int sum,none,exact (hadamard),none,hadamard,upstream-exact,20k vq=1/2,gated,docs/66 all-shape coverage
pixel-satd-8x16-cover-satd8x16_A,,pixel,satd-8x16,cover-satd8x16_A,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x16-cover-satd8x16_B,,pixel,satd-8x16,cover-satd8x16_B,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x16-cover-satd8x16_C,,pixel,satd-8x16,cover-satd8x16_C,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x32-8x32,2026-08-17,pixel,satd-8x32,8x32,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-8x4-8x4,,pixel,satd-8x4,8x4,c/neon,neon,128;256,read 2 planes; write int,none,exact (hadamard),none,hadamard,upstream-exact,20k,gated,docs/37 mixed shapes
pixel-satd-8x4-cover-satd8x4_A,,pixel,satd-8x4,cover-satd8x4_A,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x4-cover-satd8x4_B,,pixel,satd-8x4,cover-satd8x4_B,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
pixel-satd-8x4-cover-satd8x4_C,,pixel,satd-8x4,cover-satd8x4_C,neon,neon,128,"""read",src-dst-disjoint,exact,no-tail,hadamard,test-obligation,20k-native,gated,"""M2"
psy-psy-cost-16x16-16x16,2026-08-16,psy,psy-cost-16x16,16x16,neon,neon,128;256,read 2 planes; write int cost,none,exact (hadamard satd),none,hadamard,upstream-exact,20k,gated,docs/47 representative; no outer-link E2E gain
psy-psy-cost-32x32-32x32,2026-08-16,psy,psy-cost-32x32,32x32,neon,neon,128;256,read 2 planes; write int cost,none,exact (hadamard satd),none,hadamard,upstream-exact,20k,gated,docs/47 representative; no outer-link E2E gain
psy-psy-cost-64x64-64x64,2026-08-16,psy,psy-cost-64x64,64x64,neon,neon,128;256,read 2 planes; write int cost,none,exact (hadamard satd),none,hadamard,upstream-exact,20k,gated,docs/47 representative; no outer-link E2E gain
psy-psy-cost-8x8-8x8,2026-08-16,psy,psy-cost-8x8,8x8,neon,neon,128;256,read 2 planes; write int cost,none,exact (hadamard satd),none,hadamard,upstream-exact,20k,gated,docs/47 representative; no outer-link E2E gain
quant-dequant-256,2026-08-16,quant,dequant,256,sve2,sve2,128;256,read coeff+scale table; write out coeffs,src/dst disjoint,exact multiply+shift,none (256 elems),elementwise,upstream-exact,20k,gated,docs/44/47
quant-dequant-scaling-gt-256 (branch gt),2026-08-16,quant,dequant-scaling-gt,256 (branch gt),sve2,sve2,128;256,read coeff+scale table; write out coeffs,src/dst disjoint,exact multiply+shift,none (256 elems),elementwise,upstream-exact,20k,gated,docs/44/47
quant-dequant-scaling-le-256 (branch le),2026-08-17,quant,dequant-scaling-le,256 (branch le),sve2,sve2,128;256,read coeff+scale table; write out,src/dst disjoint,exact multiply+shift,none,elementwise,upstream-exact,20k,gated,docs/44/47
quant-nquant-256,2026-08-16,quant,nquant,256,sve2,sve2,128;256,read coeff+quant table; write out coeffs; return count,src/dst disjoint,rounding shift + dead-zone (upstream-exact),none (256 elems),elementwise+scan,upstream-exact,20k,gated,docs/44/47 representative slice
quant-quant-256,2026-08-16,quant,quant,256,sve2,sve2,128;256,read coeff+quant table; write out coeffs; return count,src/dst disjoint,rounding shift + dead-zone (upstream-exact),none (256 elems),elementwise+scan,upstream-exact,20k,gated,docs/44/47 representative slice
sao-sao-cuorg-b0-saoCuOrgB0,,sao,sao-cuorg-b0,saoCuOrgB0,c,neon,32,"""read-write","""rec","""saturating",no-tail,band,test-obligation,"""20k",gated,"""NEON"
sao-sao-cuorg-e0-saoCuOrgE0,,sao,sao-cuorg-e0,saoCuOrgE0,c,neon,32,"""read-write","""rec","""saturating",no-tail,edge-offset,test-obligation,"""20k",gated,"""NEON"
sao-sao-cuorg-e1-saoCuOrgE1,,sao,sao-cuorg-e1,saoCuOrgE1,c,neon,32,"""read-write","""rec","""saturating",no-tail,edge-offset,test-obligation,"""20k",gated,"""NEON"
sao-sao-cuorg-e1-2rows-saoCuOrgE1_2Rows,,sao,sao-cuorg-e1-2rows,saoCuOrgE1_2Rows,c,neon,32,"""read-write","""rec","""saturating",no-tail,edge-offset,test-obligation,"""20k",gated,"""NEON"
sao-sao-cuorg-e2-saoCuOrgE2,,sao,sao-cuorg-e2,saoCuOrgE2,c,neon,32,"""read-write","""rec","""saturating",no-tail,edge-offset,test-obligation,"""20k",gated,"""NEON"
sao-sao-cuorg-e3-saoCuOrgE3,,sao,sao-cuorg-e3,saoCuOrgE3,c,neon,32,"""read-write","""rec","""saturating",no-tail,edge-offset,test-obligation,"""20k",gated,"""NEON"
sao-sao-stats-bo-64x1,2026-08-16,sao,sao-stats-bo,64x1,sve2,sve2,128;256,read int16 coeff + uint8 rec (+offsets); accumulate int32 stats,none,exact,adapter guard width!=64 fallback,stats,upstream-exact,20k,injected,in best9 bundles
sao-sao-stats-e0-64x1,,sao,sao-stats-e0,64x1,sve2,sve2,128;256,read int16 coeff + uint8 rec; accumulate int32 stats (stateful),none,exact,adapter guard width!=64 fallback,stats,upstream-exact,20k vq=1/2,measured,710 kernel -15.0%
sao-sao-stats-e1-64x1,2026-08-16,sao,sao-stats-e1,64x1,sve2,sve2,128;256,read int16 coeff + uint8 rec (+offsets); accumulate int32 stats,none,exact,adapter guard width!=64 fallback,stats,upstream-exact,20k,injected,in best9 bundles
sao-sao-stats-e2-64x1,2026-08-16,sao,sao-stats-e2,64x1,sve2,sve2,128;256,read int16 coeff + uint8 rec (+offsets); accumulate int32 stats,none,exact,adapter guard width!=64 fallback,stats,upstream-exact,20k,injected,in best9 bundles
